Player,Salary,Position
Jayson Werth,20571429,O
Ryan Zimmerman,14000000,O
Gio Gonzalez,8600000,P
Jordan Zimmermann,7500000,P
Doug Fister,7200000,P
Denard Span,6500000,O
Ian Desmond,6500000,I
Tyler Clippard,5875000,P
Nate McLouth,5000000,O
Stephen Strasburg,3975000,P
Matt Thornton,3500000,P
Drew Storen,3450000,P
Ross Detwiler,3000000,P
Anthony Rendon,2700000,I
Bryce Harper,2150000,O
Wilson Ramos,2095000,C
Jerry Blevins,1675000,P
Craig Stammen,1350000,P
Ross Ohlendorf,1250000,P
Jose Lobaton,950000,C
Kevin Frandsen,900000,O
Danny Espinosa,540850,I
Tanner Roark,506100,P
Taylor Jordan,504300,P
Erik Davis,501400,P
